objectid,plazacode,plazaname,concessionairetype,plazatype,city,state,concessionairename,longitude,latitude
1682,320087,Harro Toll Plaza near Ganne,PF,National,Prayagraj,Uttar Pradesh,NHAI,25.1154169,81.7543869
1683,320085,Mohammad Ibrahimpur,PF,National,Bilari,Uttar Pradesh,NHAI,28.5802427,78.796195
1684,380028,Brindawan Fee Plaza,PF,National,Chhapra,Bihar,NHAI,25.7478818,84.9518215
1685,345064,Mohtara Toll Plaza,PF,National,Sihora,Madhya Pradesh,NHAI,23.4336923,80.0873052
1686,320082,Mungari,PF,National,Mungari,Uttar Pradesh,NHAI,25.2987667,81.9478441
1687,380024,Sonho Fee Plaza,PF,National,Chhapra,Bihar,NHAI,25.924418,84.967832
1688,540016,Mhasane Phata,Conc.,State,Ahmednagar,Maharashtra,Chetak Enterprises Limited.,18.9331389,74.4929167
1689,330116,Bagaliya Toll Plaza,BOT,National,Beawar,Rajasthan,ITNLÂ (MoRTH),25.8843501,74.1608431
1690,312030,Thana Village Toll Plaza,PF,National,Kaithal,Haryana,NHAI,29.9105,76.50713
1691,320083,Shahabpur Toll Plaza,PF,National,Bahraich Rd,Uttar Pradesh,NHAI,26.949445,81.256453
1692,320086,Sabli Toll Plaza,PF,National,Puranpur,Uttar Pradesh,NHAI,28.154095,80.100556
1693,330117,Baggar Toll Plaza,BOT,National,Gomti,Rajasthan,ITNLÂ (MoRTH),25.5903343,73.9028527
1694,345059,Pathoroundi Toll Plaza,PF,National,Kotma,Madhya Pradesh,NHAI,23.2492475,82.0589565
1695,345063,Pandutala Toll Plaza,PF,National,Mandla,Madhya Pradesh,NHAI,22.390935,80.808638
1696,356024,Yeddore Toll Plaza,PF,National,Mysore,Karnataka,NHAI,12.247019,76.883537
1697,330114,Badi Ghati Toll Plaza,Conc.,National,Pushkar,Rajasthan,B.S. Group (MoRTH),26.5475364,74.5069619
1698,545020,Bela,Conc.,State,Sagar,Madhya Pradesh,DBL Tikamgarh-Nowgoav,25.076435,79.327525
1699,350034,Dilawarpur fee plaza,PF.,National,Bodhan,Telangana,NHAI,19.0989609,78.2133902
1700,345057,Shadol/Dhuwar,PF,National,Bhopal,Madhya Pradesh,NHAI,23.2816398,81.4293698
1701,318008,Thandikhui Toll Plaza,PF,National,Samba,J&K,Rakesh Kumar Choudhary,32.6122983,74.9376458
1702,330110,Mandana Toll Plaza,PF,National,Mandana,Rajasthan,NHAI,24.9657418,75.9352303
1703,545021,Mawai Toll Plaza,Conc.,State,Sagar,Madhya Pradesh,DBL Tikamgarh-Nowgoav,24.791454,78.924038
1704,336020,Kobadi Toll Plaza,PF,National,Bhavnagar,Gujarat,NHAI,21.61976,72.14159333
1705,378010,Manderdisa,PF,National,Dima Hasao,Assam,NHAI,25.736519,93.138524
1706,320096,Dularpur,PF,National,Bahraich,Uttar Pradesh,NHAI,27.578462,81.633657
1707,345070,Johariya Sheikh Toll Plaza,PF,National,Sagar,Madhya Pradesh,NHAI,23.797401,78.545475
1708,340032,Selu Amba Toll Plaza,PF,National,Beed,Maharashtra,NHAI,18.676103,76.391998
1709,340025,Kelwad,PF,National,Nagpur,Maharashtra,NHAI,21.47162,78.872554
1710,345067,Chikhalikala,PF,National,Betul,Madhya Pradesh,NHAI,21.842211,78.433626
1711,340033,Fekari,Conc,National,Bhusawal,Maharashtra,Fekari Infrastructure,21.040041,75.829323
1712,380026,Chapraitha Fee Plaza,PF,National,Chhapra,Bihar,NHAI,26.0265755,84.4909225
1713,356017,Bagepalli Toll Plaza,PF,National,Chikballapur,Karnataka,NHAI,13.79295,77.764358
1714,318006,Kachkoot Toll Plaza,PF,National,Pulwama,J&K,NHAI,33.874607,75.043232
1715,320093,Amdi Toll Plaza,PF,National,Lohra,Uttar Pradesh,NHAI,26.369652,82.886172
1716,320094,Aindhi Toll Plaza,PF,National,Amethi,Uttar Pradesh,NHAI,26.235591,81.609372
1717,320090,Akshda Toll Plaza,PF,National,Gorakhpur,Uttar Pradesh,NHAI,26.7288131,83.2754187
1718,352047,Halaharvi Toll Plaza,PF,National,Halaharvi,Andhra Pradesh,NHAI,15.819781,77.454008
1719,356026,Kannole Toll Plaza,PF,National,Gulbarga,Karnataka,NHAI,17.3970044,76.7064433
1720,356027,Harwal Toll Plaza,PF,National,Gulbarga,Karnataka,NHAI,17.021227,76.6828832
1721,340031,Haladgao Toll Plaza,PF,National,Wardha,Maharashtra,NHAI,20.852147,78.873033
1722,345068,Bahoripar Toll Plaza,PF,National,Jabalpur,Madhya Pradesh,NHAI,23.04675,79.9073666
1723,336022,Gorsar Toll Plaza,PF,National,Gorsar,Gujarat,Kalthia Infra Projects,21.31811111,69.90972222
1724,375022,Brajrajnagar Toll Plaza,PF,National,Brajrajnagar,Odisha,NHAI,21.8613868,83.9347122
1725,340028,Badewadi Toll Plaza,PF,National,Ahmednagar,Maharashtra,NHAI,19.172077,75.346182
1726,352048,Gollaprolu Toll Plaza,PF,National,Pithapuram,Andhra Pradesh,NHAI,17.139122,82.271843
1727,320098,Chhapar Toll Plaza,PF,National,Muzaffarnagar,Uttar Pradesh,Raj Shyama,29.585833,77.778333
1728,320089,Bharatkhund Toll Plaza,PF,National,Varanasi,Uttar Pradesh,NHAI,26.635829,82.126764
1729,320091,Belon Toll Plaza,PF,National,Narora,Uttar Pradesh,NHAI,28.1884316,78.3480532
1730,340030,Ashiv Toll Plaza,PF,National,Ausa,Maharashtra,NHAI,18.1278333,76.3583021
1731,345069,Kherwasani Toll Plaza,PF,National,Katni,Madhya Pradesh,NHAI,24.1222993,80.5994996
1732,349013,Jagtara Toll Plaza,PF,National,Kanker,Chhattisgarh,NHAI,20.6046999,81.4195136
